RxNorm,UMLS
2048118,C4703862
497062,C1530575
7773,C0029983
7779,C0029995
7778,C0029994
1544248,C3848617
807744,C2365389
1441322,C3668731
438214,C1367590
1119990,C3195386
1943550,C4521178
1943551,C4521009
1161405,C3215749
206766,C0707940
206765,C0707937
206764,C0707936
282486,C0936207
833709,C1629533
282485,C4082787
833707,C0354453
991051,C2916887
833705,C1693238
833704,C1692173
541158,C1602186
1313280,C3495135
1313283,C3486647
1603391,C3893038
1603390,C3892740
1603393,C3893088
1603392,C3893061
1603395,C3893086
1603394,C3893087
576622,C1594314
1603396,C3892739
1156758,C3211189
1156759,C0360578
318132,C0994899
2043695,C4691418
2043694,C4691417
2043691,C4691415
2043690,C4691414
2043693,C3484784
2043692,C4691416
2257296,C5211220
2257297,C5210581
2257294,C5210966
312793,C0979974
215819,C0719086
2257293,C5210965
2257291,C5203501
215815,C0719082
215814,C0719081
215811,C0719078
215810,C0719077
2257298,C5211118
215812,C0719079
580214,C1618828
331549,C1127530
1926571,C4489741
82828,C0284968
2105189,C4741127
370600,C1244621
2000006,C4555368
2105180,C4741124
1602011,C3883629
2105182,C4741125
2105187,C4741126
2171256,C5140336
2171255,C5140614
2171254,C5140335
199106,C0692386
2171252,C5140334
2171251,C5140612
2171250,C5140333
1301885,C2724165
199108,C0692388
1301887,C2724167
1301881,C2939693
1301882,C2954814
199099,C0692376
11476,C0043611
335251,C1132221
11473,C0043603
201239,C0697780
801355,C2345931
801357,C1814011
801356,C2345932
2166086,C4766092
1154412,C3208882
1157084,C3211508
884189,C0975737
884188,C2726352
1157081,C3211505
1157083,C3211507
884183,C2724215
211245,C0713257
884187,C0707190
884186,C2726351
884185,C0975734
884184,C2726350
315217,C0982885
1729186,C4074652
1729189,C4074480
9549,C0036147
1180665,C3234517
251267,C0793281
1180660,C3234512
1180663,C3234515
1549223,C3855875
1183314,C3237140
2044731,C4691808
1183311,C3237137
1151727,C3206246
2053265,C2825609
332130,C1128294
332131,C1128295
850091,C2741043
477381,C1533363
1544247,C3848618
1152106,C3206613
1310168,C1365976
1538138,C3715224
572620,C1606817
1310164,C2948088
1310167,C3487980
1310166,C3487977
1310161,C3487973
572625,C1606822
1538130,C3831924
1310162,C3486620
2108437,C4745803
2108435,C4745802
2108433,C1577432
1798371,C4271516
2108439,C4745804
1152105,C3206612
1539423,C3832727
1539422,C3832726
1539421,C3832725
1539420,C3832724
1539427,C3832731
1539426,C3832730
1539425,C3832729
1539424,C3832728
1155817,C3210262
800003,C1814190
800000,C2344965
800001,C2344966
373993,C1248065
216736,C0720034
216731,C0720029
752331,C1995813
752338,C1995820
1101769,C3154517
1101768,C3154516
644088,C1724228
1152102,C3206609
644087,C1724227
335480,C1132481
731119,C1965550
335485,C1132488
1187145,C3240887
2265862,C5222044
2265863,C5221242
1187140,C3240882
895263,C2731420
370847,C1244876
209443,C0711211
37882,C0076218
1186233,C3239989
107030,C0359110
1304108,C1168867
1994541,C4541460
1994540,C4541459
1994543,C4541462
1994542,C4541461
2173497,C5140640
2173496,C5140618
2173495,C5140542
2173494,C5140135
2173493,C5140733
2173492,C5140747
2173491,C5140746
2173490,C5140702
1008464,C2929368
